nome n m c insert extractMin dk bkmp fila cpu_time wall_time l1_miss l2_ref llc_miss cycles inst dtlb page_faults branch_inst branch_miss
BAY 321270 800172 94305 376482 339301 37181 157753 3LVBQDK 78 78 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 376482 339301 37181 157753 3LVBQDK 77 77 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 376482 339301 37181 157753 3LVBQDK 78 78 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 578128 510622 67506 73840 4LVBQDK 107 107 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 578128 510622 67506 73840 4LVBQDK 107 107 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 578128 510622 67506 73840 4LVBQDK 106 106 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 578128 510622 67506 73840 4LVBQDK 107 107 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 578128 510622 67506 73840 4LVBQDK 107 107 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 578128 510622 67506 73840 4LVBQDK 106 106 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 578128 510622 67506 73840 4LVBQDK 108 108 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 578128 510622 67506 73840 4LVBQDK 106 106 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 578128 510622 67506 73840 4LVBQDK 107 107 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 578128 510622 67506 73840 4LVBQDK 107 107 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 366731 333204 33527 157724 5LVBQDK 82 82 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 366731 333204 33527 157724 5LVBQDK 81 81 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 366731 333204 33527 157724 5LVBQDK 83 83 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 366731 333204 33527 157724 5LVBQDK 82 82 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 366731 333204 33527 157724 5LVBQDK 82 82 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 366731 333204 33527 157724 5LVBQDK 81 81 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 366731 333204 33527 157724 5LVBQDK 82 82 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 366731 333204 33527 157724 5LVBQDK 81 81 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 366731 333204 33527 157724 5LVBQDK 83 83 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 366731 333204 33527 157724 5LVBQDK 82 82 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346544 321290 25254 268541 6LVBQDK 91 91 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346544 321290 25254 268541 6LVBQDK 91 91 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346544 321290 25254 268541 6LVBQDK 92 92 0 0 0 0 0 0 0 0 0
