nome n m c insert extractMin dk bkmp upd fila cpu_time wall_time l1_ac l1_miss llc_ac llc_miss cycles inst dtlb page_faults branch_inst branch_miss
NY 264346 733846 36946 264346 264346 34919 0 264346 3LVBQDK 72 72 250113183 2456748 214937 118230 178579254 471095438 12939 0 65154364 809906
NY 264346 733846 36946 264346 264346 34865 0 264346 3LVBQDK 68 68 248194544 2433225 183730 87426 179113161 484520645 10180 0 65247538 806801
NY 264346 733846 36946 264346 264346 34388 0 264346 3LVBQDK 71 71 252369202 2169030 199683 103722 178601538 481336567 11064 0 66609330 820850
NY 264346 733846 36946 264346 264346 34676 0 264346 3LVBQDK 71 71 249399473 2479337 213297 114877 179229570 473459836 12069 0 65693410 817353
NY 264346 733846 36946 264346 264346 34438 0 264346 4LVBQDK 78 78 276872044 2504301 217059 109597 201577025 540502240 13841 0 70165509 881277
NY 264346 733846 36946 264346 264346 34766 0 264346 4LVBQDK 77 77 280581260 2166161 183784 88694 197615695 541176408 8804 0 70666360 895762
NY 264346 733846 36946 264346 264346 34785 0 264346 4LVBQDK 77 77 275999004 2592882 204952 101963 199358796 535917459 14838 0 70093883 867967
NY 264346 733846 36946 264346 264346 34501 0 264346 4LVBQDK 78 78 276784681 2535140 219017 114281 201049702 541775190 12321 0 70346887 882836
NY 264346 733846 36946 264346 264346 34051 0 264346 4LVBQDK 77 77 276677218 2523005 201069 98181 200437911 539982435 14424 0 70453096 880646
NY 264346 733846 36946 264346 264346 34688 0 264346 4LVBQDK 77 77 279930707 2190574 194661 98281 200457641 542200252 9422 0 70534529 887077
NY 264346 733846 36946 264346 264346 33816 0 264346 4LVBQDK 76 76 278530183 2285344 181584 86789 196501056 543372194 8815 0 70995862 890442
NY 264346 733846 36946 264346 264346 34413 0 264346 4LVBQDK 77 77 276900582 2482173 210431 107726 200048848 537527778 15174 0 69994604 874165
NY 264346 733846 36946 264346 264346 34158 0 264346 4LVBQDK 78 78 279765189 2217693 205838 112519 201524721 547700114 9467 0 71122048 914577
NY 264346 733846 36946 264346 264346 34772 0 264346 4LVBQDK 77 77 281008644 2146292 183991 87000 200761946 550172200 8173 0 71558263 903279
NY 264346 733846 36946 264346 264346 34342 0 264346 5LVBQDK 81 81 306835762 2433392 176108 83434 202004879 579027435 11295 0 74846345 895796
NY 264346 733846 36946 264346 264346 34679 0 264346 5LVBQDK 82 82 307299705 2286418 183597 87403 203372420 579436694 9248 0 74850624 930301
